"id","repository","sha","message","date","insertions","deletions","files_changed","in_main_branch","merge","dmm_unit_size","dmm_unit_complexity","dmm_unit_interfacing","time_mined","author_id","committer_id"
"67","aisepucrio/stnl-dataminer-api","3ec8d5935e6e49209e8b66c7e3223c28aaac4e00","fix/feat: Modificando o arquivos docker-compose e settings.py para lidar com o banco de dados, adicionando os testes automatizados pelo Django

JIRA: [CSTONE-320][CSTONE-367]","2024-10-26 22:43:45+00",63,116,4,True,False,"0","0","1","2025-03-24 14:07:38.709282+00","4","4"
"68","aisepucrio/stnl-dataminer-api","62fa293324e21c5a9e7f59011be5bfb344d34873","fix: Corrigindo conflitos de urls para as issues entre github e jira

JIRA: [CSTONE-320][CSTONE-367]","2024-10-26 23:08:13+00",6,7,2,True,False,"1","1","1","2025-03-24 14:07:39.092753+00","4","4"
"69","aisepucrio/stnl-dataminer-api","11d56d552c4ac3bfc0c140cbad3067e93627db5a","fix: Removendo arquivo inutilizado de testes

JIRA: [CSTONE-320][CSTONE-367]","2024-10-26 23:10:28+00",0,89,1,True,False,"0","0","0.6888888888888889","2025-03-24 14:07:39.423449+00","4","4"
"70","aisepucrio/stnl-dataminer-api","6c8f1b9346767f5cb9de45a760c6cba434787e11","feat: Adicionando uso do .env pelo Docker

JIRA: [CSTONE-320][CSTONE-368]","2024-10-27 03:23:26+00",109,45,4,True,False,"0.12244897959183673","0.9591836734693877","0.7551020408163265","2025-03-24 14:07:39.552758+00","4","4"
"71","aisepucrio/stnl-dataminer-api","61d1ceb87a4d2fcebbaacc5ffc1d84e681ca4111","feat:  Adicionando código para testar as filas

JIRA:  [CSTONE-320][CSTONE-336]","2024-10-28 01:52:01+00",58,1,2,True,False,"1","1","0","2025-03-24 14:07:40.113994+00","4","4"
"72","aisepucrio/stnl-dataminer-api","3487420362c368568ed82257eb7fdfad51ccb299","improv: Mudando alguns arquivos para tentar consertar conexão com o banco

JIRA: [CSTONE-320][CSTONE-369]","2024-10-28 17:03:02+00",16,2875,67,True,False,"0","0","0.7367758186397985","2025-03-24 14:07:40.352168+00","8","8"
"73","aisepucrio/stnl-dataminer-api","af4a3ae3c768875a3afed8808b60a79fc440008f","Voltando a versão anterior antes do celery estar implementado","2024-10-28 17:16:35+00",3,8,3,True,False,"0","0","1","2025-03-24 14:07:42.251729+00","5","5"
"74","aisepucrio/stnl-dataminer-api","33f8b2a2f21d4c93d69c9a47f432e53c1a25dae1","ref: Realizando a implementação do Celery novamente alterando a forma como os arquivos interagem entre si.

JIRA: [CSTONE-319][CSTONE-357]","2024-10-29 11:17:34+00",195,16,4,True,False,"0.2971014492753623","0.36231884057971014","0.2898550724637681","2025-03-24 14:07:42.713346+00","5","5"
"75","aisepucrio/stnl-dataminer-api","4b97e08a17ad22ac66c7de78e652a8f9446e54ea","feat: Implementando rotas de consulta e cancelamento de tasks.

JIRA: [CSTONE-319][CSTONE-363]","2024-10-29 11:18:48+00",61,2,2,True,False,"0.3548387096774194","1","0","2025-03-24 14:07:43.051566+00","5","5"
"76","aisepucrio/stnl-dataminer-api","8f6b4971c824d45a389b9cb8fa8e38b6422817c1","Merge branch 'dev-gabriel' into development","2024-10-29 11:41:58+00",335,28,0,True,True,NULL,NULL,NULL,"2025-03-24 14:07:43.222913+00","5","5"
"77","aisepucrio/stnl-dataminer-api","879614ef82348ed75459effc6adf38651154be21","Deleção do arquivo tasks.py do app Jira","2024-10-29 12:49:00+00",0,198,1,True,False,"0.7121212121212122","0.7954545454545454","0.8181818181818182","2025-03-24 14:07:43.262613+00","5","5"
"78","aisepucrio/stnl-dataminer-api","b0d3f25b281093f5a05fb565b472c282e483ac79","Merge branch 'dev-gabriel' of https://github.com/aisepucrio/stnl-dataminer-api into dev-gabriel","2024-10-29 12:54:10+00",0,6,0,True,True,NULL,NULL,NULL,"2025-03-24 14:07:43.41933+00","5","5"
"79","aisepucrio/stnl-dataminer-api","2ff774588d68924f203d1359b027517c50d29f12","Merge branch 'dev-breno' into development","2024-10-29 17:06:14+00",309,3122,0,True,True,NULL,NULL,NULL,"2025-03-24 14:07:43.458168+00","4","4"
"80","aisepucrio/stnl-dataminer-api","5f9ddfb92cbb8beba4b6fb71fda8ec732ddbb027","Merge branch 'development' into dev-gabriel","2024-10-29 17:37:08+00",309,3122,0,True,True,NULL,NULL,NULL,"2025-03-24 14:07:43.521972+00","5","5"
"81","aisepucrio/stnl-dataminer-api","19ad65d3f1ac2941ffe4545a4841e7dce5fc5994","feat: Adicionando endpoint para verificar status das tasks

JIRA: [CSTONE-320][CSTONE-370]","2024-10-30 21:47:59+00",132,35,6,True,False,"0.7746478873239436","1","0.43661971830985913","2025-03-24 14:07:43.57285+00","8","8"
"82","aisepucrio/stnl-dataminer-api","421f64dc23fb140b186b4177dda86db6f7a2d30c","Update README.md","2024-11-04 15:16:28+00",60,43,1,True,False,NULL,NULL,NULL,"2025-03-24 14:07:44.128704+00","9","2"
"83","aisepucrio/stnl-dataminer-api","d2e8ba9654ad24ed9bb000262ab4b363c26f423f","improv: Alterando coisas para que o app do jobs lide com a verificação das tasks do GitHub e JIRA","2024-11-04 16:40:53+00",11,26,7,True,False,"0","0","0","2025-03-24 14:07:44.226183+00","4","4"
"84","aisepucrio/stnl-dataminer-api","5478fd7350867497d40ddb068f34ba32b140f1e4","Remoção do App features","2024-11-08 09:15:37+00",1,3953,21,True,False,"0.43859649122807015","0.43859649122807015","0.05263157894736842","2025-03-24 14:07:44.58377+00","5","5"
"85","aisepucrio/stnl-dataminer-api","7cc25bcab3f393f86aa106d7ea947f7872864cac","feat: Adicionando verificação de tasks no test.py","2024-11-12 18:35:52+00",89,37,3,True,False,"0","0.45454545454545453","0.7575757575757576","2025-03-24 14:07:45.412753+00","4","4"
"86","aisepucrio/stnl-dataminer-api","b69197b2d317964ba201c4c861ca4c9ef63fd812","test: Alterações nos testes","2024-11-12 19:24:07+00",3,2,2,True,False,NULL,NULL,NULL,"2025-03-24 14:07:45.791548+00","5","5"
"87","aisepucrio/stnl-dataminer-api","b6e30811c3fd1f1943a675a2f5c2026d6a50bb6d","fix: Fazendo ajustes","2024-11-12 20:58:21+00",10,6,3,True,False,NULL,NULL,NULL,"2025-03-24 14:07:45.990315+00","4","4"
"88","aisepucrio/stnl-dataminer-api","3f76b3622c99e1a893cdae5e93edbe5b51d87562","fix: Consertando conexão externa ao banco de dados do Docker

JIRA: [CSTONE-320][CSTONE-395]","2024-11-12 22:27:32+00",187,89,6,True,False,"0.2545454545454545","0.18181818181818182","0.36363636363636365","2025-03-24 14:07:46.143351+00","4","4"
"89","aisepucrio/stnl-dataminer-api","e639ce35194f5b59e39e9b5ad07355cfab7d930d","fix: Consertando algumas coisas relacionadas a criação do banco","2024-11-13 20:17:53+00",123,9,3,True,False,NULL,NULL,NULL,"2025-03-24 14:07:46.788704+00","4","4"
"90","aisepucrio/stnl-dataminer-api","19e7920181c98459313608e2d44d39dfd09faff1","fix: Retirando parte das features

JIRA: [CSTONE-320][CSTONE-401]","2024-11-14 17:22:33+00",4,3953,22,True,False,"0.4411764705882353","0.4411764705882353","0.047058823529411764","2025-03-24 14:07:47.147733+00","4","4"
